"","year_season","T0","year","season","tsIn","tsInWNoise"
"88",2039.75,14.0442287251353,2039,4,15.0813148178505,15.0417357129752
"89",2040,15.2112306319177,2040,1,16.2602372544343,16.257547128685
"90",2040.25,13.5541791468859,2040,2,14.6151062992038,14.5873232159832
"91",2040.5,12.1874234229326,2040,3,13.2602711050518,13.2688011677954
"92",2040.75,13.6066376902163,2040,4,14.6914059021368,14.6813410093991
"93",2041,15.1971921175718,2041,1,16.2938808592937,16.3261941614249
"94",2041.25,13.5027600824833,2041,2,14.6113693540065,14.6449979448517
"95",2041.5,12.3242536224425,2041,3,13.444783423767,13.3943973175424
"96",2041.75,13.9306147880852,2041,4,15.063065119211,15.0857084198439
"97",2042,13.7450363561511,2042,1,14.8894072170783,14.8778611681038
"98",2042.25,12.711675927043,2042,2,13.8679673177715,13.8342698864294
"99",2042.5,12.3512541800738,2042,3,13.5194661006036,13.5540177273131
"100",2042.75,13.3227378688753,2042,4,14.5028703192064,14.4585395001804
"101",2043,14.1666319929063,2043,1,15.3586849730388,15.3619109164634
"102",2043.25,12.8471152223646,2043,2,14.0510887322984,14.0379389943128
"103",2043.5,12.0732767991721,2043,3,13.2891708389072,13.3017748914378
"104",2043.75,13.2435636073351,2043,4,14.4713781768715,14.4534636100824
"105",2044,14.5964176878333,2044,1,15.836152787171,15.845406808673
"106",2044.25,13.5985882021487,2044,2,14.8502438312878,14.7287355054892
"107",2044.5,11.8560552969575,2044,3,13.1196314558979,13.1183820946102
"108",2044.75,13.2625405713916,2044,4,14.5380372601333,14.5997421508672
"109",2045,14.7669070288539,2045,1,16.054324247397,16.055084432143
"110",2045.25,13.0327972322702,2045,2,14.3321349806146,14.3448193068996
"111",2045.5,11.5845589376986,2045,3,12.8958172158443,12.9298687539164
"112",2045.75,12.8456281386316,2045,4,14.1688069465786,14.1573268527225
"113",2046,14.5964176878333,2046,1,15.9315170255816,15.9271867060352
"114",2046.25,13.5985882021487,2046,2,14.9456080696984,14.9962949605584
"115",2046.5,11.8560552969575,2046,3,13.2149956943085,13.2143537960499
"116",2046.75,13.2625405713916,2046,4,14.6334014985439,14.6184205761699
"117",2047,15.176613394171,2047,1,16.5593948511246,16.5447738719637
"118",2047.25,12.5468019917607,2047,2,13.9415039785157,13.958099590772
"119",2047.5,12.6491592228412,2047,3,14.0557817393975,14.0251581456536
"120",2047.75,14.1137887313962,2047,4,15.5323317777538,15.5664427523846
"121",2048,15.212096247822,2048,1,16.6425598239809,16.6162060587481
"122",2048.25,12.6327717080712,2048,2,14.0751558140315,14.051418081606
"123",2048.5,12.8737458586693,2048,3,14.3280504944309,14.3519711510328
"124",2048.75,13.6540283113718,2048,4,15.1202534769347,15.1024208402939
"125",2049,15.2112306319177,2049,1,16.6893763272819,16.6656597491053
"126",2049.25,13.5541791468859,2049,2,15.0442453720515,15.0312953638481
"127",2049.5,12.1874234229326,2049,3,13.6894101778995,13.7176123082995
"128",2049.75,13.6066376902163,2049,4,15.1205449749845,15.1287921901162
"129",2050,15.2112306319177,2050,1,16.7370584464872,16.6999293234854
"130",2050.25,13.5541791468859,2050,2,15.0919274912568,15.0850127483516
"131",2050.5,12.1874234229326,2050,3,13.7370922971048,13.7429733413107
"132",2050.75,13.6066376902163,2050,4,15.1682270941898,15.138228365444
"133",2051,14.67504446581,2051,1,16.2485543995848,16.23070575981
"134",2051.25,13.2243757881224,2051,2,14.8098062516986,14.790013828674
"135",2051.5,12.5966451913118,2051,3,14.1939961846893,14.188631492939
"136",2051.75,13.1083388663828,2051,4,14.7176103895616,14.7474800664058
"137",2052,14.7350346073508,2052,1,16.3562266603309,16.3647445910622
"138",2052.25,13.8488954678177,2052,2,15.4820080505992,15.4721622330842
"139",2052.5,12.0905003361404,2052,3,13.7355334487232,13.7689172051616
"140",2052.75,13.7297918982804,2052,4,15.3867455406645,15.3036598001694
"141",2053,15.176613394171,2053,1,16.8454875663564,16.8763187788297
"142",2053.25,12.5468019917607,2053,2,14.2275966937475,14.2339853111323
"143",2053.5,12.6491592228412,2053,3,14.3418744546293,14.3699188500725
"144",2053.75,14.1137887313962,2053,4,15.8184244929856,15.7894599317113
"145",2054,15.0290665738284,2054,1,16.7456228652191,16.7430178065327
"146",2054.25,13.1881715878844,2054,2,14.9166484090765,14.8963760249814
"147",2054.5,11.2427664287388,2054,3,12.9831637797322,12.9758802051618
"148",2054.75,12.8545617386698,2054,4,14.6068796194645,14.5523494695872
"149",2055,15.1971921175718,2055,1,16.9614305281678,17.0028066216959
"150",2055.25,13.5027600824833,2055,2,15.2789190228807,15.2451351946195
"151",2055.5,12.3242536224425,2055,3,14.1123330926412,14.0456878188665
"152",2055.75,13.9306147880852,2055,4,15.7306147880852,15.7366081457508
