"","year_season","T0","year","season","tsIn","tsInWNoise"
"1",2018,15.2112306319177,2018,1,15.2112306319177,15.2198772457226
"2",2018.25,13.5541791468859,2018,2,13.5660996766872,13.5482472191339
"3",2018.5,12.1874234229326,2018,3,12.2112644825352,12.2254205997843
"4",2018.75,13.6066376902163,2018,4,13.6423992796203,13.7070337964594
"5",2019,14.6644684150815,2019,1,14.7121505342868,14.6662893582339
"6",2019.25,12.8318781629205,2019,2,12.8914808119271,12.8536821252157
"7",2019.5,11.9438413269818,2019,3,12.0153645057897,12.0613055099215
"8",2019.75,13.5207826495171,2019,4,13.6042263581264,13.5907256657678
"9",2020,13.7450363561511,2020,1,13.8404005945617,13.8014500184722
"10",2020.25,12.711675927043,2020,2,12.8189606952549,12.870729688019
"11",2020.5,12.3512541800738,2020,3,12.470459478087,12.4194979779403
"12",2020.75,13.3227378688753,2020,4,13.4538636966899,13.4121835664943
"13",2021,15.112328466028,2021,1,15.2553748236439,15.2445900176619
"14",2021.25,12.6873055100441,2021,2,12.8422723974613,12.7840488141739
"15",2021.5,12.3604134321213,2021,3,12.5273008493398,12.5346430677745
"16",2021.75,13.2999211214483,2021,4,13.4787290684682,13.5052515857264
"17",2022,15.1272510923445,2022,1,15.3179795691657,15.3478698344651
"18",2022.25,14.1742819659412,2022,2,14.3769309725637,14.3538346204054
"19",2022.5,12.3665837198496,2022,3,12.5811532562734,12.5829374496816
"20",2022.75,12.8666766621172,2022,4,13.0931667283424,13.1104127523392
"21",2023,15.1971921175718,2023,1,15.4356027135983,15.3935425024922
"22",2023.25,13.5027600824833,2023,2,13.7530912083111,13.7299005466748
"23",2023.5,12.3242536224425,2023,3,12.5865052780716,12.5617119317775
"24",2023.75,13.9306147880852,2023,4,14.2047869735157,14.1709194451451
"25",2024,14.6644684150815,2024,1,14.9505611303133,14.9840266522187
"26",2024.25,12.8318781629205,2024,2,13.1298914079536,13.1450010738065
"27",2024.5,11.9438413269818,2024,3,12.2537751018162,12.2068410499298
"28",2024.75,13.5207826495171,2024,4,13.8426369541529,13.8260628261211
"29",2025,14.9041367433965,2025,1,15.2379115778336,15.2141976170561
"30",2025.25,13.5092152096331,2025,2,13.8549105738715,13.870374302772
"31",2025.5,12.0663148798048,2025,3,12.4239307738445,12.3955202297215
"32",2025.75,14.0442287251353,2025,4,14.4137651489764,14.4017054333425
"33",2026,15.112328466028,2026,1,15.4937854196704,15.4958228256498
"34",2026.25,12.6873055100441,2026,2,13.0806829934878,13.0838066379707
"35",2026.5,12.3604134321213,2026,3,12.7657114453663,12.7597172342074
"36",2026.75,13.2999211214483,2026,4,13.7171396644947,13.6568408430312
"37",2027,14.6644684150815,2027,1,15.0936074879292,15.1627868335933
"38",2027.25,12.8318781629205,2027,2,13.2729377655695,13.2716873118113
"39",2027.5,11.9438413269818,2027,3,12.3968214594321,12.3896347527807
"40",2027.75,13.5207826495171,2027,4,13.9856833117688,13.983525634296
"41",2028,14.1610128879547,2028,1,14.6378340800077,14.6383511093323
"42",2028.25,13.9460368081927,2028,2,14.434778530047,14.4184743150249
"43",2028.5,12.4550319090485,2028,3,12.9556941607041,12.9571441982701
"44",2028.75,13.9495917521417,2028,4,14.4621745335987,14.4588407688378
"45",2029,14.5964176878333,2029,1,15.1209209990916,15.1486459729786
"46",2029.25,13.5985882021487,2029,2,14.1350120432083,14.1216096401939
"47",2029.5,11.8560552969575,2029,3,12.4043996678184,12.3786892591352
"48",2029.75,13.2625405713916,2029,4,13.8228054720539,13.8223238673996
"49",2030,14.7350346073508,2030,1,15.3072200378144,15.2967582116304
"50",2030.25,13.8488954678177,2030,2,14.4330014280826,14.4481462356506
"51",2030.5,12.0905003361404,2030,3,12.6865268262066,12.6686365517462
"52",2030.75,13.7297918982804,2030,4,14.337738918148,14.3527810965263
"53",2031,15.1272510923445,2031,1,15.7471186420134,15.7806873458962
"54",2031.25,14.1742819659412,2031,2,14.8060700454114,14.7776599529524
